project-id,start-date,remarked,tools,
001,01.11.2024,University of Melbourne's designX,AdobeXD;Miro,
002,28.20.2024,Victoria College of Art End of Year Exhibition,Visual Studio Code;Adobe Photoshop;Adobe InDesign;Adobe Premiere Pro,
003,01.04.2024,,Figma;Voiceflow;Miro,
004,05.08.2024,,Visual Studio Code;Adobe InDesign,
005,04.03.2024,,Wave Evaluation Tool;Canva,
006,01.04.2024,,Adobe Illustrator;Adobe InDesign,
007,15.05.2024,Victoria College of Art End of Year Exhibition,Visual Studio Code;Adobe InDesign;Adobe Premiere Pro,
008,07.10.2024,Victoria College of Art End of Year Exhibition;University of Melbourne designX;Permanent display at the Elisabeth Murdoch Bulding,Figma;Adobe Photoshop;Adobe InDesign,
009,18.09.2023,,Adobe Illustrator;Adobe Photoshop,
010,19.08.2024,Victoria College of Art End of Year Exhibition;University of Melbourne designX,Adobe InDesign;Adobe Photoshop;Adobe Illustrator,
